candidate,leverage,terminal,mdd,trades
mom14_k3,0.25,0.9283827957533879,0.45508963897424315,346
listing_rev_k1,0.25,0.9236076387066497,0.6551716027010519,365
volume_exhaustion_k3,0.25,0.8423416129825618,0.7713896883923983,346
volume_exhaustion_k5,0.25,0.7901013416354371,0.6065346071326401,311
mom14_k5,0.25,0.7072406328148014,0.4365017823933943,311
mom30_k3,0.25,0.6857684311909292,0.5890913684866748,346
mom30_k5,0.25,0.6249815049563814,0.5060914196981593,311
mom30_k1,0.25,0.6180230426974375,0.7197836779652023,365
risk_adj_mom30_k5,0.25,0.4908830609728475,0.5845103384177861,311
mom14_k1,0.25,0.4904075329384216,0.8687966490543795,365
listing_rev_k5,0.25,0.466526395021433,0.5851540202571168,311
mom7_k3,0.25,0.46273820784035735,0.8797112458681506,346
accel_rev_k5,0.25,0.45169116012947497,0.6008141517948133,311
risk_adj_mom30_k1,0.25,0.4516603967834835,0.6421561452579685,365
mom60_k3,0.25,0.4510590569302406,0.7201068353744934,346
mom7_k5,0.25,0.42853734046592945,0.7376920939785583,311
mom60_k5,0.25,0.42794558172002833,0.6387783853159861,311
accel_k3,0.25,0.4132185463565614,0.917093692474373,346
accel_rev_k1,0.25,0.3995297782413595,0.7726287822625263,365
risk_adj_mom30_k3,0.25,0.3906427644948353,0.6380088604746057,346
rev7_k1,0.25,0.37067542112545177,0.8958712492196977,365
rev7_k5,0.25,0.3698004191284405,0.6707518631907783,311
accel_k5,0.25,0.35881478582502546,0.7978369022235767,311
listing_rev_k3,0.25,0.33653897110466835,0.7341094816650632,346
mom60_k1,0.25,0.3011147628016953,0.9997802866982634,365
accel_rev_k3,0.25,0.2876341567507747,0.7474174281172443,346
rev7_k3,0.25,0.26066724551669074,0.7683547899146213,346
rev30_k5,0.25,0.25295771247586724,0.8461925833800359,311
drawdown_recovery_k5,0.25,0.22015865764735126,0.8471451189495488,311
drawdown_recovery_k1,0.25,0.19408969659933936,0.8972627420534808,365
rev30_k3,0.25,0.17415926524924208,0.8636371546720513,346
mom7_k1,0.25,0.16101399261247945,0.9671273517552584,365
accel_k1,0.25,0.14806292386598935,0.9605660761551928,365
volume_exhaustion_k1,0.25,0.14427237427636025,0.8969896065024395,365
drawdown_recovery_k3,0.25,0.11723791251986601,0.9103195860157,346
rev30_k1,0.25,0.1105535386151908,0.9117057606966452,365
