i,decision_date,entry_date,exit_date,candidate,long_symbols,short_symbols,gross_unit_return,eligible_count,net_return,before,after,log
321,2022-12-31,2023-01-01,2023-01-04,drawdown_recovery_k1,"[""LUNA2USDT""]","[""STGUSDT""]",0.0279405060605582,7,0.0042351265151395505,1.0,1.0042351265151395,0.0042261836075121375
322,2023-01-03,2023-01-04,2023-01-07,drawdown_recovery_k1,"[""INJUSDT""]","[""LDOUSDT""]",-0.2121893951719671,7,-0.05579734879299178,1.0042351265151395,0.9482014688907999,-0.057414462986783925
323,2023-01-06,2023-01-07,2023-01-10,drawdown_recovery_k1,"[""CVXUSDT""]","[""LDOUSDT""]",-0.18144799062263872,7,-0.04811199765565968,0.9482014688907999,0.9025816020424328,-0.0493078957077212
324,2023-01-09,2023-01-10,2023-01-13,drawdown_recovery_k1,"[""CVXUSDT""]","[""LDOUSDT""]",-0.010742402222740699,7,-0.005435600555685175,0.9025816020424328,0.8976755289848197,-0.005450427184548042
325,2023-01-12,2023-01-13,2023-01-16,drawdown_recovery_k1,"[""CVXUSDT""]","[""LDOUSDT""]",0.1614558174166698,7,0.03761395435416745,0.8976755289848197,0.9314406553569078,0.03692380261332603
326,2023-01-15,2023-01-16,2023-01-19,drawdown_recovery_k1,"[""SPELLUSDT""]","[""1000LUNCUSDT""]",0.03768997792901185,7,0.0066724944822529626,0.9314406553569078,0.9376556879903228,0.006650331922692164
327,2023-01-18,2023-01-19,2023-01-22,drawdown_recovery_k1,"[""LUNA2USDT""]","[""CVXUSDT""]",0.14496115547011534,9,0.033490288867528833,0.9376556879903228,0.9690580478394002,0.032941703740947535
328,2023-01-21,2023-01-22,2023-01-25,drawdown_recovery_k1,"[""CVXUSDT""]","[""APTUSDT""]",-0.04030981499710484,9,-0.012827453749276213,0.9690580478394002,0.9566275005503764,-0.012910435931321337
329,2023-01-24,2023-01-25,2023-01-28,drawdown_recovery_k1,"[""LUNA2USDT""]","[""QNTUSDT""]",0.02935251218472401,9,0.004588128046181003,0.9566275005503764,0.9610166300153996,0.004577634671087316
330,2023-01-27,2023-01-28,2023-01-31,drawdown_recovery_k1,"[""LUNA2USDT""]","[""CVXUSDT""]",-0.18348267810682228,9,-0.04862066952670557,0.9610166300153996,0.9142913580377526,-0.04984242060013782
