trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
0,2020-03-31,2020-04-01,2020-04-04,BTCUSDT,ETHUSDT,-0.24956429260796642,-0.3917251502224668,0.05880508939737369,False,3,2076502472.95289,252528347.01959,6407.1,6729.8,132.6,141.2,-0.01449071169702787,0.25,-0.006372677924256967,1.0,0.993627322075743,-0.006393070117639114
1,2020-04-03,2020-04-04,2020-04-07,BTCUSDT,ETHUSDT,-0.23148866098050347,-0.3708290640174634,0.05990744103711487,False,3,2325552706.414625,239500524.341595,6729.8,7325.73,141.2,171.15,-0.1235595588249534,0.25,-0.03363988970623835,0.993627322075743,0.9602018085520101,-0.03421872925348711
2,2020-04-06,2020-04-07,2020-04-10,XRPUSDT,ETHUSDT,-0.16285956006768187,-0.27888261565686356,0.04521866764070081,False,4,27841448.6788,237657420.65044498,0.198,0.1981,171.15,169.48,0.010262573146008647,0.25,-0.0001843567134978384,0.9602018085520101,0.9600247889022908,-0.00018437370928560935
3,2020-04-09,2020-04-10,2020-04-13,BCHUSDT,ETHUSDT,-0.058927324192184605,-0.15670564817118682,0.03365454989424562,False,6,98235084.2349,230976011.13815,256.0,232.78,169.48,158.69,-0.02703779575761156,0.25,-0.00950944893940289,0.9600247889022908,0.9508954821916634,-0.009554952454306332
4,2020-04-12,2020-04-13,2020-04-16,BCHUSDT,LTCUSDT,0.3127008286825641,0.11827384123601492,0.059758955532059246,False,6,96542350.019095,28773723.320304997,232.78,215.04,41.98,39.2,-0.009987285850118655,0.25,-0.0052468214625296635,0.9508954821916634,0.9459063033670777,-0.005260634367341143
5,2020-04-15,2020-04-16,2020-04-19,ETHUSDT,ETCUSDT,0.37439222042139364,0.1326666666666667,0.07024432219388321,False,8,217493837.62391502,21399186.45359,152.64,187.52,5.1,5.657,0.119295844123813,0.25,0.027073961030953247,0.9459063033670777,0.971515733763371,0.026713944936558133
6,2020-04-18,2020-04-19,2020-04-22,LINKUSDT,BCHUSDT,0.6876394466755913,0.10362459839811744,0.17627264425214106,False,9,45801937.745945,93439365.64997,3.782,3.457,243.89,219.54,0.013906723256635334,0.25,0.0007266808141588334,0.971515733763371,0.9722217156077503,0.0007264169094978946
7,2020-04-21,2020-04-22,2020-04-25,LINKUSDT,BCHUSDT,0.7450782433114587,0.08229783037475347,0.18575688252199163,False,10,65527271.376865,85291171.4604,3.457,3.78,219.54,238.12,0.00880211072727377,0.25,-0.0005494723181815573,0.9722217156077503,0.9716875066878888,-0.000549623333417473
8,2020-04-24,2020-04-25,2020-04-28,LINKUSDT,BCHUSDT,0.6770186335403725,0.07817383033651892,0.18742438454276325,False,10,106849208.01129499,72507212.69246,3.78,3.637,238.12,242.98,-0.05824056520344101,0.25,-0.017310141300860254,0.9716875066878888,0.9548674586468409,-0.017461713500994007
9,2020-04-27,2020-04-28,2020-05-01,LINKUSDT,XRPUSDT,0.7062412013139374,0.12606959498003412,0.20692103144813306,False,10,106849208.01129499,21259308.735445,3.637,3.708,0.1973,0.2116,-0.05295687547634054,0.25,-0.015989218869085137,0.9548674586468409,0.9395998738595694,-0.016118425556048314
10,2020-04-30,2020-05-01,2020-05-04,XLMUSDT,BCHUSDT,0.6583927254853774,0.14620632812857726,0.17861148447354627,False,11,8035327.296505,88864850.52110499,0.06754,0.07293,250.25,251.7,0.07401035446638038,0.25,0.015752588616595092,0.9395998738595694,0.9544010041366838,0.01562980436051719
11,2020-05-03,2020-05-04,2020-05-07,XLMUSDT,BCHUSDT,0.7653753026634382,0.06562513230873446,0.196290787436058,False,12,8889509.342969999,86977326.30061,0.07293,0.06948,251.7,241.33,-0.006105794460278147,0.25,-0.0042764486150695365,0.9544010041366838,0.9503195572843226,-0.00428561877459702
12,2020-05-06,2020-05-07,2020-05-10,LINKUSDT,BCHUSDT,0.40980392156862755,-0.06489835430784119,0.1614339656325986,False,15,117243296.96611,83739952.46391499,3.595,4.022,241.33,265.69,0.01783545715914725,0.25,0.0017088642897868124,0.9503195572843226,0.9519435244396519,0.001707405842495707
13,2020-05-09,2020-05-10,2020-05-13,ADAUSDT,DASHUSDT,0.4267515923566878,-0.037863258169540615,0.13740709112715552,False,16,15356807.329465,11024772.76796,0.05156,0.05043,79.75,73.29,0.0590869206767658,0.25,0.012021730169191447,0.9519435244396519,0.9633875326267745,0.011950043133943971
14,2020-05-12,2020-05-13,2020-05-16,ADAUSDT,EOSUSDT,0.506722438004183,-0.023218574859887986,0.13757090270744382,False,19,17812768.04128,31106518.38865,0.05043,0.05033,2.44,2.583,-0.060589504035784225,0.25,-0.01789737600894606,0.9633875326267745,0.9461454237130223,-0.018059471005407203
15,2020-05-15,2020-05-16,2020-05-19,ADAUSDT,DASHUSDT,0.58071608040201,0.023055162659122885,0.1386465347636121,False,21,17812768.04128,11014122.438315,0.05033,0.05435,72.31,76.14,0.026906444571347166,0.25,0.0039766111428367916,0.9461454237130223,0.9499078761477036,0.0039687253237236375
16,2020-05-18,2020-05-19,2020-05-22,ADAUSDT,DASHUSDT,0.48768472906403915,-0.04968789013732822,0.13705295006781779,False,22,17812768.04128,11014122.438315,0.05435,0.05214,76.14,73.11,-0.0008672592418604852,0.25,-0.002966814810465121,0.9499078761477036,0.947089675392171,-0.002971224529564646
17,2020-05-21,2020-05-22,2020-05-25,ADAUSDT,EOSUSDT,0.509264620729589,-0.023034154090547987,0.11859109620584697,False,24,21114588.252815,30656895.55315,0.05214,0.05108,2.461,2.486,-0.030488353255161083,0.25,-0.010372088313790273,0.947089675392171,0.9372663776379244,-0.010426253283211919
18,2020-05-24,2020-05-25,2020-05-28,ADAUSDT,DASHUSDT,0.22416686645888295,-0.12019643953345616,0.09087092933548353,False,24,19361912.2168,7928967.664215,0.05108,0.05507,71.68,73.67,0.050350487505593566,0.25,0.00983762187639839,0.9372663776379244,0.946486849858588,0.009789547508811433
