trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
321,2022-12-31,2023-01-01,2023-01-04,LDOUSDT,INJUSDT,-0.1393057313324897,-0.24615384615384617,0.041639465379984274,False,7,11049241.394049998,8324751.4487,0.9524,1.201,1.274,1.305,0.2366919694573144,0.25,0.0564229923643286,1.0,1.0564229923643287,0.05488866603201758
322,2023-01-03,2023-01-04,2023-01-07,LDOUSDT,SPELLUSDT,0.0863862505653552,-0.2125568431861522,0.0986048851845851,False,7,13918581.7007,5643995.26436955,1.201,1.5175,0.0005367,0.0005516,0.23576814054867334,0.25,0.056192035137168334,1.0564229923643287,1.1157855502709775,0.05467002020674991
323,2023-01-06,2023-01-07,2023-01-10,LDOUSDT,CVXUSDT,0.5105006469592914,-0.2005700958797616,0.22735049429206639,True,7,17832354.67905,4394985.169,1.5175,1.9414,3.085,3.387,0.18144799062263872,0.25,0.04261199765565968,1.1157855502709775,1.1633314015233431,0.0417291007244265
324,2023-01-09,2023-01-10,2023-01-13,LDOUSDT,INJUSDT,0.8968246213971665,-0.14612146722790142,0.3426108502133827,True,7,25260558.772749998,6048895.75145,1.9414,2.0511,1.42,1.528,-0.019550723523172886,0.25,-0.007637680880793221,1.1633314015233431,1.154446247519902,-0.007666997333951448
325,2023-01-12,2023-01-13,2023-01-16,LDOUSDT,CVXUSDT,0.8200372703877896,-0.11975155279503114,0.3014930734584116,True,7,36299236.535500005,4743899.736,2.0511,2.222,3.542,4.409,-0.1614558174166698,0.25,-0.043113954354167455,1.154446247519902,1.1046735046999892,-0.04407096917937949
326,2023-01-15,2023-01-16,2023-01-19,LDOUSDT,INJUSDT,1.19258089976322,0.17709815078236146,0.31923247695779544,True,7,103383202.28275,6048895.75145,2.222,1.9721,1.655,1.48,-0.006726065355780242,0.25,-0.00443151633894506,1.1046735046999892,1.0997781260147115,-0.004441364613439183
327,2023-01-18,2023-01-19,2023-01-22,LDOUSDT,INJUSDT,1.0773038441284886,0.13420245398773,0.33231676811301736,True,9,155899052.51865,6276361.26245,1.9721,2.3962,1.48,1.733,0.04410400081131782,0.25,0.008276000202829453,1.0997781260147115,1.1088798900086767,0.008241941895164622
328,2023-01-21,2023-01-22,2023-01-25,APTUSDT,INJUSDT,2.172718933793773,0.3047404063205419,0.6620764180373928,True,9,191911803.642415,7205354.2345,11.7594,12.3159,1.733,1.837,-0.01268769762768307,0.25,-0.005921924406920767,1.1088798900086767,1.1023131871236906,-0.005939528535882127
329,2023-01-24,2023-01-25,2023-01-28,APTUSDT,1000LUNCUSDT,2.444680613043965,0.17148760330578527,0.6908625932411655,True,9,839149564.53196,98371548.7283,12.3159,17.757,0.17,0.1726,0.42650063547695205,0.25,0.10387515886923801,1.1023131871236906,1.21681614455982,0.09882686072640935
330,2023-01-27,2023-01-28,2023-01-31,APTUSDT,1000LUNCUSDT,4.498235075551152,0.17323369565217384,1.2339755053236483,True,9,1141327241.18272,89879665.82885,17.757,17.1906,0.1726,0.1646,0.01445266211663554,0.25,0.0008631655291588848,1.21681614455982,1.217866458311128,0.0008627932160233578
331,2023-01-30,2023-01-31,2023-02-03,APTUSDT,1000LUNCUSDT,3.9876690071374687,0.13526570048309172,1.0948678746681786,True,9,1618772446.7174149,75793152.54265001,17.1906,17.2178,0.1646,0.1694,-0.0275793438158487,0.25,-0.009644835953962178,1.217866458311128,1.2061203361068844,-0.009691648627801919
332,2023-02-02,2023-02-03,2023-02-06,APTUSDT,1000LUNCUSDT,3.50990099009901,0.08595253367543298,0.9745122294590961,True,9,1810637354.281805,70122800.10895,17.2178,15.4316,0.1694,0.1814,-0.1745797295001662,0.25,-0.04639493237504155,1.2061203361068844,1.1501624646770432,-0.047505668481146734
333,2023-02-05,2023-02-06,2023-02-09,APTUSDT,1000LUNCUSDT,3.000259241976461,0.16217948717948705,0.8506550127200051,True,9,1810637354.281805,70122800.10895,15.4316,15.0866,0.1814,0.1809,-0.019600382988236964,0.25,-0.007650095747059241,1.1501624646770432,1.1413636116975903,-0.007679507829044876
334,2023-02-08,2023-02-09,2023-02-12,APTUSDT,1000LUNCUSDT,1.8960148961492687,0.06666666666666643,0.6512361527069653,True,9,1810637354.281805,70122800.10895,15.0866,13.877,0.1809,0.1679,-0.008314203129766384,0.25,-0.004828550782441596,1.1413636116975903,1.1358524795372775,-0.0048402458959246365
335,2023-02-11,2023-02-12,2023-02-15,INJUSDT,1000LUNCUSDT,1.225278323510151,-0.0035629453681709222,0.44428784230547946,True,9,76876346.3919,63517537.850150004,3.398,3.488,0.1679,0.1697,0.015765501270585958,0.25,0.0011913753176464893,1.1358524795372775,1.1372057061458858,0.0011906661932390395
336,2023-02-14,2023-02-15,2023-02-18,APTUSDT,LUNA2USDT,0.8594295949644917,-0.0976757727206562,0.337756125332602,True,8,1538458241.13567,49016131.8679,14.741,14.735,1.8593,1.9008,-0.02272725605990711,0.25,-0.008431814014976778,1.1372057061458858,1.1276169991348934,-0.008467562852304092
337,2023-02-17,2023-02-18,2023-02-21,STGUSDT,LUNA2USDT,1.7460793357933584,0.024193113853117065,0.5447410456569073,True,8,86544057.80125,48153992.2634,1.1907,1.1327,1.9008,1.8676,-0.031244512395306012,0.25,-0.010561128098826505,1.1276169991348934,1.1157080915606155,-0.010617292602530418
338,2023-02-20,2023-02-21,2023-02-24,STGUSDT,LUNA2USDT,1.3225343448841502,-0.15613702096890825,0.42995532932313296,True,8,112558093.30835,45644995.0655,1.1327,1.0799,1.8676,1.7839,-0.0017974071774288225,0.25,-0.0031993517943572055,1.1157080915606155,1.1121385488759021,-0.003204480662600064
339,2023-02-23,2023-02-24,2023-02-27,SPELLUSDT,LUNA2USDT,0.26218820861677994,-0.12876605302993305,0.16269940047344603,True,7,12018547.176919151,34532979.877,0.0008905,0.0008483,1.7839,1.7375,-0.02137868064970294,0.25,-0.008094670162425736,1.1121385488759021,1.1031361541478328,-0.008127609882820654
340,2023-02-26,2023-02-27,2023-03-02,LDOUSDT,APTUSDT,0.3035505430242271,-0.2885099481334227,0.18079821200622695,True,7,230724343.57099998,1127617518.89188,3.1204,3.0199,12.633,13.443,-0.09632519605549006,0.25,-0.026831299013872517,1.1031361541478328,1.073537578142879,-0.027197829516651353
341,2023-03-01,2023-03-02,2023-03-05,LDOUSDT,APTUSDT,0.4590742172400464,-0.21799831302172712,0.20185084500152978,True,7,244755055.7814,954990838.603365,3.0199,2.5521,13.443,11.257,0.007706720505572862,0.25,-0.0008233198736067847,1.073537578142879,1.0726537133197305,-0.0008236589875594834
342,2023-03-04,2023-03-05,2023-03-08,LDOUSDT,APTUSDT,0.12497244875468372,-0.34620366014438464,0.1368452254845442,True,7,265520060.0674,688112351.8555,2.5521,2.5507,11.257,11.12,0.011621637359562342,0.25,0.00015540933989058553,1.0726537133197305,1.0728204137252486,0.000155397265110099
343,2023-03-07,2023-03-08,2023-03-11,LDOUSDT,LUNA2USDT,0.24578713427441023,-0.28293081882035986,0.1840102300728704,True,6,279100922.0825,25600656.564999998,2.5507,2.3041,1.4904,1.2984,0.0321451337250922,0.25,0.00528628343127305,1.0728204137252486,1.0784916465030558,0.0052723600819738455
344,2023-03-10,2023-03-11,2023-03-14,LDOUSDT,APTUSDT,-0.10150522539385431,-0.2853213137573327,0.07052658094607445,False,4,289108432.54285,617100931.39302,2.3041,2.6714,10.782,12.309,0.01778655343694635,0.25,0.0016966383592365876,1.0784916465030558,1.080321456800629,0.0016952006942774584
345,2023-03-13,2023-03-14,2023-03-17,LDOUSDT,APTUSDT,0.12841091492776902,-0.11305663640293995,0.08989172128117742,False,4,293268970.44474995,617100931.39302,2.6714,2.3896,12.309,12.342,-0.1081687243748245,0.25,-0.029792181093706127,1.080321456800629,1.0481363243202082,-0.030244984137020228
346,2023-03-16,2023-03-17,2023-03-20,LDOUSDT,APTUSDT,-0.07001089663760895,-0.1628112068380707,0.04009645424687457,False,4,300016858.17069995,617100931.39302,2.3896,2.471,12.342,13.025,-0.021275212628026674,0.25,-0.00806880315700667,1.0481363243202082,1.03967911863756,-0.008101532123819083
347,2023-03-19,2023-03-20,2023-03-23,QNTUSDT,LDOUSDT,-0.06617594511541502,-0.18446153338394,0.04505111025551641,False,4,11287660.433,295393550.37335,130.69,124.54,2.471,2.3666,-0.004807822156403629,0.25,-0.003951955539100907,1.03967911863756,1.0355703529857727,-0.003959785150384122
348,2023-03-22,2023-03-23,2023-03-26,APTUSDT,QNTUSDT,-0.0777074542897328,-0.10977701543739271,0.016034780573829954,False,2,589720496.146865,11680888.850499999,13.114,11.58,124.54,121.58,-0.09320676174948794,0.25,-0.026051690437371988,1.0355703529857727,1.0085919947236672,-0.02639704701212065
349,2023-03-25,2023-03-26,2023-03-29,QNTUSDT,APTUSDT,-0.09571619812583676,-0.13870295998810056,0.0214933809311319,False,2,10805820.083,589720496.146865,121.58,121.2,11.58,11.259,0.024594693189072814,0.25,0.0033986732972682036,1.0085919947236672,1.012019869403973,0.0033929108599141766
350,2023-03-28,2023-03-29,2023-04-01,QNTUSDT,APTUSDT,-0.07232511862850144,-0.10891245844546471,0.018293669908481636,False,2,10805820.083,589720496.146865,121.2,124.89,11.259,11.377,0.01996504006915467,0.25,0.002241260017288668,1.012019869403973,1.01428806907397,0.002238752140559725
351,2023-03-31,2023-04-01,2023-04-04,QNTUSDT,APTUSDT,-0.017155898323758523,-0.15368593319943458,0.06826501743783803,False,2,10412874.660999998,545044615.526525,124.89,123.25,11.377,11.333,-0.009264103892483555,0.25,-0.005066025973120889,1.01428806907397,1.0091496593718146,-0.005078901787248514
352,2023-04-03,2023-04-04,2023-04-07,APTUSDT,QNTUSDT,0.006751354712623225,-0.015732311132406918,0.011241832922515071,False,2,518625473.488135,10223676.2215,11.333,11.454,123.25,121.15,0.027715324165064503,0.25,0.004178831041266126,1.0091496593718146,1.0133667252936804,0.004170123975306971
353,2023-04-06,2023-04-07,2023-04-10,APTUSDT,QNTUSDT,0.0299433504181279,-0.010212418300653558,0.02007788435939073,False,2,518625473.488135,9731960.954,11.454,11.064,121.15,121.43,-0.036360424922068146,0.25,-0.011840106230517039,1.0133667252936804,1.001368355615732,-0.01191075852919773
354,2023-04-09,2023-04-10,2023-04-13,APTUSDT,QNTUSDT,0.026154702281580455,0.013604874384441912,0.006274913948569272,False,2,457093080.646545,8683960.9445,11.064,11.356,121.43,121.67,0.024415454327137764,0.25,0.0033538635817844413,1.001368355615732,1.004726808475583,0.0033482519249755983
355,2023-04-12,2023-04-13,2023-04-16,QNTUSDT,APTUSDT,-0.03689043698543382,-0.07742302380372079,0.020266293409143488,False,2,7380422.716,359232947.127835,121.67,119.02,11.356,12.571,-0.12877212375513925,0.25,-0.034943030938784814,1.004726808475583,0.9696186085219941,-0.03556814408906962
356,2023-04-15,2023-04-16,2023-04-19,APTUSDT,QNTUSDT,0.01871809415768566,-0.03946731234866829,0.029092703253176977,False,2,318094883.98473,7127729.8295,12.571,12.731,119.02,118.24,0.01928122704309898,0.25,0.0020703067607747453,0.9696186085219941,0.9716260164825903,0.0020681666290433575
357,2023-04-18,2023-04-19,2023-04-22,FETUSDT,QNTUSDT,0.012395709177592362,-0.09550776765898827,0.05395173841829032,False,2,52595002.585999995,7127729.8295,0.4247,0.3331,118.24,107.7,-0.12654092692350227,0.25,-0.03438523173087557,0.9716260164825903,0.9382164307500889,-0.034990314919414234
358,2023-04-21,2023-04-22,2023-04-25,FXSUSDT,FETUSDT,0.026966010284710906,-0.12087622063869097,0.07392111546170094,False,2,23447280.98845,52595002.585999995,8.189,8.241,0.3331,0.3317,0.010552923742186637,0.25,-0.00011176906445334073,0.9382164307500889,0.9381115671773692,-0.00011177531108065721
359,2023-04-24,2023-04-25,2023-04-28,FXSUSDT,FETUSDT,0.06859439834024905,-0.08798460269452857,0.06689301294991615,False,3,23447280.98845,46796903.0395,8.241,8.396,0.3317,0.3437,-0.01736887157702527,0.25,-0.007092217894256317,0.9381115671773692,0.9314582755338251,-0.007117487219508006
