symbol,listing_date,last_date,requested_end,bars,monthly_files_ok,monthly_files_missing,status_codes
0GUSDT,2025-09-17,2026-06-21,2025-12-31,106,4,0,"{""200"": 4}"
1000000BOBUSDT,2025-06-05,2026-06-21,2025-12-07,186,7,0,"{""200"": 7}"
1000000MOGUSDT,2024-11-07,2026-06-21,2025-05-11,186,7,0,"{""200"": 7}"
1000BONKUSDT,2023-11-22,2026-06-21,2024-05-25,186,7,0,"{""200"": 7}"
1000CATUSDT,2024-10-21,2026-06-21,2025-04-24,186,7,0,"{""200"": 7}"
1000CHEEMSUSDT,2024-11-25,2026-06-21,2025-05-29,186,7,0,"{""200"": 7}"
1000FLOKIUSDT,2023-05-06,2026-06-21,2023-11-07,186,7,0,"{""200"": 7}"
1000LUNCUSDT,2022-09-09,2026-06-21,2023-03-13,186,7,0,"{""200"": 7}"
1000PEPEUSDT,2023-05-05,2026-06-21,2023-11-06,186,7,0,"{""200"": 7}"
1000RATSUSDT,2023-12-15,2026-06-21,2024-06-17,186,7,0,"{""200"": 7}"
1000SATSUSDT,2023-12-12,2026-06-21,2024-06-14,186,7,0,"{""200"": 7}"
1000SHIBUSDT,2021-05-10,2026-06-21,2021-11-11,186,7,0,"{""200"": 7}"
1000WHYUSDT,2024-11-25,2026-06-21,2025-05-29,186,7,0,"{""200"": 7}"
1000XECUSDT,2021-09-17,2026-06-21,2022-03-21,186,7,0,"{""200"": 7}"
1000XUSDT,2024-11-13,2026-06-21,2025-05-17,186,7,0,"{""200"": 7}"
1INCHUSDT,2020-12-25,2026-06-21,2021-06-28,186,7,0,"{""200"": 7}"
1MBABYDOGEUSDT,2024-09-16,2026-06-21,2025-03-20,186,7,0,"{""200"": 7}"
2ZUSDT,2025-10-02,2026-06-21,2025-12-31,91,3,0,"{""200"": 3}"
A2ZUSDT,2025-07-30,2026-06-21,2025-12-31,155,6,0,"{""200"": 6}"
AAVEUSDT,2020-10-16,2026-06-21,2021-04-19,186,7,0,"{""200"": 7}"
ACEUSDT,2023-12-18,2026-06-21,2024-06-20,186,7,0,"{""200"": 7}"
ACHUSDT,2023-02-22,2026-06-21,2023-08-26,186,7,0,"{""200"": 7}"
ACTUSDT,2024-11-11,2026-06-21,2025-05-15,186,7,0,"{""200"": 7}"
ACXUSDT,2024-12-06,2026-06-21,2025-06-09,186,7,0,"{""200"": 7}"
ADAUSDT,2020-01-31,2026-06-21,2020-08-03,186,8,0,"{""200"": 8}"
AERGOUSDT,2024-09-10,2026-06-21,2025-03-14,186,7,0,"{""200"": 7}"
