trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
20,2020-05-30,2020-05-31,2020-06-03,ADAUSDT,DASHUSDT,0.6140424637376498,-0.021050024764735054,0.14561037837330829,True,24,18471028.54983,6720449.59389,0.07675,0.07879,79.11,78.28,0.03707152494959187,0.25,0.006517881237397967,1.0,1.006517881237398,0.006496731699858198
21,2020-06-02,2020-06-03,2020-06-06,VETUSDT,XRPUSDT,0.6748961698200275,-0.07474931631722881,0.18992651300257998,True,24,8802492.841134,26941680.78483,0.007263,0.006696,0.2031,0.2028,-0.07658980962369533,0.25,-0.021897452405923834,1.006517881237398,0.9844777038372907,-0.022140760053486228
22,2020-06-05,2020-06-06,2020-06-09,ADAUSDT,XRPUSDT,0.7397344228804903,-0.042965061378659075,0.1854098343911598,True,24,21005240.908495,26855549.663489997,0.08519,0.08651,0.2028,0.204,0.009577616618891005,0.25,-0.0003555958452772488,0.9844777038372907,0.9841276276560381,-0.00035565908447198695
23,2020-06-08,2020-06-09,2020-06-12,VETUSDT,XRPUSDT,0.7081686429512517,-0.058144900784494746,0.1942156642454857,True,24,10762191.440808,25793123.72736,0.007781,0.008751,0.204,0.1881,0.20260381623411483,0.25,0.047900954058528705,0.9841276276560381,1.0312682799361188,0.04678907194641077
24,2020-06-11,2020-06-12,2020-06-15,VETUSDT,XRPUSDT,1.0585744530698662,-0.04517766497461939,0.23227404194002704,True,24,15674764.4823375,25095536.23708,0.008751,0.008644,0.1881,0.19,-0.022328184138262985,0.25,-0.008332046034565747,1.0312682799361188,1.0226757051537037,-0.008366951554954847
25,2020-06-14,2020-06-15,2020-06-18,VETUSDT,XRPUSDT,0.9708228857989512,-0.0399191510864072,0.2301326299215922,True,24,19266159.845745,24591803.89288,0.008644,0.009014,0.19,0.1929,0.027541099393555424,0.25,0.004135274848388856,1.0226757051537037,1.0269047502752842,0.004126748098240532
26,2020-06-17,2020-06-18,2020-06-21,VETUSDT,ETCUSDT,1.0053392658509455,-0.06438152011922504,0.24542819251480621,True,24,24854731.9846745,17155270.1981,0.009014,0.008296,6.282,6.262,-0.0764701722962765,0.25,-0.02186754307406913,1.0269047502752842,1.0044488664156732,-0.0221101815884368
27,2020-06-20,2020-06-21,2020-06-24,VETUSDT,XRPUSDT,0.9586971914090159,-0.032955715756951665,0.23655465465188016,True,24,27277934.345937498,24016057.80687,0.008296,0.0089,0.1877,0.1888,0.06694575609224818,0.25,0.013986439023062042,1.0044488664156732,1.0184975292375797,0.013889531335047268
28,2020-06-23,2020-06-24,2020-06-27,VETUSDT,ETCUSDT,0.9957389549226283,-0.03012781497261119,0.24360895421512146,True,24,28280055.307837002,14967518.3986,0.0089,0.008938,6.375,6.045,0.05603436880370127,0.25,0.011258592200925316,1.0184975292375797,1.0299643775769158,0.011195685968486073
29,2020-06-26,2020-06-27,2020-06-30,VETUSDT,ETCUSDT,0.8242498469075323,-0.10722197607443507,0.2118909021513514,True,24,28280055.307837002,13001885.73298,0.008938,0.008683,6.045,5.825,0.007863841358380808,0.25,-0.0007840396604047982,1.0299643775769158,1.0291568446560915,-0.0007843471802482979
32,2020-07-05,2020-07-06,2020-07-09,VETUSDT,XTZUSDT,1.13694743130227,-0.22029281579843374,0.28544862096464596,True,20,31744840.314588003,19259079.79295,0.014296,0.019916,2.29,2.654,0.2341649907263279,0.25,0.055791247681581974,1.0291568446560915,1.086574789079495,0.05429048362267014
33,2020-07-08,2020-07-09,2020-07-12,VETUSDT,XTZUSDT,1.5564982645584262,-0.09942314217848669,0.37214541220452385,True,18,37167162.671005994,19736530.456299998,0.019916,0.018496,2.654,2.687,-0.08373351951595354,0.25,-0.023683379878988386,1.086574789079495,1.0608410255827936,-0.023968339315556704
34,2020-07-11,2020-07-12,2020-07-15,VETUSDT,DASHUSDT,1.1130156553536739,0.005117565698478543,0.27403534289001774,True,18,37599269.522204,2648768.9193399996,0.018496,0.018452,72.69,71.99,0.0072510426082987856,0.25,-0.0009372393479253037,1.0608410255827936,1.059846763631724,-0.0009376788313452107
35,2020-07-14,2020-07-15,2020-07-18,VETUSDT,DASHUSDT,1.132199861207495,-0.008401046687784075,0.34090566684494844,True,17,42207842.144931,2776086.573825,0.018452,0.018212,71.99,69.57,0.020609059830701826,0.25,0.0024022649576754566,1.059846763631724,1.0623927963725022,0.0023993841319606187
36,2020-07-17,2020-07-18,2020-07-21,VETUSDT,DASHUSDT,1.0204126913689815,-0.03908839779005546,0.27277862484967436,True,15,41379567.8993595,3443113.43148,0.018212,0.0161,69.57,68.86,-0.10576194559147678,0.25,-0.029190486397869198,1.0623927963725022,1.0313810339007965,-0.02962500542273186
37,2020-07-20,2020-07-21,2020-07-24,VETUSDT,DASHUSDT,0.9399927702132784,-0.02958163121566415,0.2565470554661582,True,14,47663854.2346655,3607087.4554049997,0.0161,0.017402,68.86,73.47,0.013922135650153544,0.25,0.000730533912538386,1.0313810339007965,1.0321344927228098,0.0007302672025255177
38,2020-07-23,2020-07-24,2020-07-27,VETUSDT,IOSTUSDT,0.9556129902236203,-0.045711664883045344,0.25515070867850576,True,14,53905516.466901496,13218395.473644499,0.017402,0.017582,0.006241,0.005989,0.05072178319034304,0.25,0.009930445797585757,1.0321344927228098,1.0423840483586122,0.009881462934882613
39,2020-07-26,2020-07-27,2020-07-30,VETUSDT,BATUSDT,0.9679982096900523,-0.05984484669375689,0.28783888522890083,True,14,53905516.466901496,8327160.967315,0.017582,0.015589,0.2545,0.2477,-0.0866355101965105,0.25,-0.024408877549127628,1.0423840483586122,1.016940623763063,-0.024711712260624803
40,2020-07-29,2020-07-30,2020-08-02,VETUSDT,BATUSDT,0.7957373271889401,-0.053455517373043215,0.22329552454320606,True,14,58625615.1938385,8009704.621895,0.015589,0.017388,0.2477,0.2595,0.06776361384186691,0.25,0.014190903460466725,1.016940623763063,1.0313719299799116,0.014091155161341611
41,2020-08-01,2020-08-02,2020-08-05,VETUSDT,BATUSDT,0.8208861422436369,0.0714285714285714,0.20992116473093206,True,13,58625615.1938385,8009704.621895,0.017388,0.018755,0.2595,0.2623,0.06782745658091227,0.25,0.014206864145228065,1.0313719299799116,1.0460244908723377,0.014106892394951706
42,2020-08-04,2020-08-05,2020-08-08,QTUMUSDT,IOSTUSDT,0.6025857223159079,-0.1841376293920396,0.20959302823702894,True,10,10348683.35445,13876174.616152499,2.852,2.647,0.005597,0.005864,-0.11958351010020651,0.25,-0.03264587752505163,1.0460244908723377,1.011876103455115,-0.033190643249986905
47,2020-09-15,2020-09-16,2020-09-19,THETAUSDT,ALGOUSDT,0.3450792851749307,-0.4389857369255151,0.3920325110502229,True,2,19749025.900185,32782348.73846,0.5345,0.5753,0.354,0.3366,0.12548556388831644,0.25,0.028621390972079108,1.011876103455115,1.0408374050274078,0.028219450343178847
48,2020-09-18,2020-09-19,2020-09-22,THETAUSDT,ALGOUSDT,0.42154682480850014,-0.4368412246946629,0.3645831404609803,True,3,19783617.25569,25123414.983039998,0.5753,0.5646,0.3366,0.2874,0.12756856610191447,0.25,0.029142141525478615,1.0408374050274078,1.0711696359897285,0.02872558290534374
49,2020-09-21,2020-09-22,2020-09-25,THETAUSDT,ALGOUSDT,0.2571682596132474,-0.49159440806936827,0.30811638875893044,True,4,19713439.403845,21085504.057535,0.5646,0.6369,0.2874,0.2938,0.10578664519082381,0.25,0.02369666129770595,1.0711696359897285,1.0965527800461639,0.02342025353132023
50,2020-09-24,2020-09-25,2020-09-28,THETAUSDT,ALGOUSDT,0.25680473372781054,-0.47685185185185186,0.26904806058125813,True,5,19713439.403845,17357952.873105,0.6369,0.7457,0.2938,0.3203,0.0806300322325817,0.25,0.01740750805814542,1.0965527800461639,1.1156410314009992,0.017257733031495366
51,2020-09-27,2020-09-28,2020-10-01,THETAUSDT,ALGOUSDT,0.5695350305070481,-0.4008225836604973,0.37229452926948065,True,5,19783617.25569,16050529.59561,0.7457,0.745,0.3203,0.347,-0.08429806590986366,0.25,-0.023824516477465918,1.1156410314009992,1.089061423265449,-0.024112910039771077
52,2020-09-30,2020-10-01,2020-10-04,THETAUSDT,KNCUSDT,0.5627750995598406,-0.45484075159914716,0.3256522185279474,True,7,22079492.37358,5135011.1485,0.745,0.7476,0.98151,0.91128,0.07504294813791579,0.25,0.016010737034478945,1.089061423265449,1.1064980993277473,0.015883917047771503
53,2020-10-03,2020-10-04,2020-10-07,THETAUSDT,COMPUSDT,0.8757515030060121,-0.3502945902517407,0.38185354322788195,True,7,23261980.322504997,20494212.807315,0.7476,0.685,121.22,105.64,0.04479202832554252,0.25,0.008448007081385628,1.1064980993277473,1.115845803106408,0.008412522379506595
54,2020-10-06,2020-10-07,2020-10-10,THETAUSDT,COMPUSDT,0.6042154566744733,-0.38091607530350124,0.3274093040779702,True,7,30612345.78391,19515755.432825,0.685,0.7143,105.64,115.33,-0.04895289607729869,0.25,-0.014988224019324675,1.115845803106408,1.099121256238426,-0.015101682571181904
55,2020-10-09,2020-10-10,2020-10-13,THETAUSDT,COMPUSDT,0.5053740779768179,-0.34934596301308074,0.2581430046380174,True,8,36559790.998135,19515755.432825,0.7143,0.7304,115.33,116.82,0.009620100670040932,0.25,-0.00034497483248976707,1.099121256238426,1.0987420870671694,-0.00034503434999557764
56,2020-10-12,2020-10-13,2020-10-16,THETAUSDT,COMPUSDT,0.33181403828623535,-0.3511861770098339,0.20782571616902706,True,8,36559790.998135,18957047.91431,0.7304,0.6876,116.82,106.96,0.0258053271122497,0.25,0.003701331778062425,1.0987420870671694,1.1028088960699258,0.003694498705385814
