trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
323,2023-01-06,2023-01-07,2023-01-10,LDOUSDT,CVXUSDT,0.5105006469592914,-0.2005700958797616,0.22735049429206639,True,7,17832354.67905,4394985.169,1.5175,1.9414,3.085,3.387,0.18144799062263872,0.25,0.04261199765565968,1.0,1.0426119976556596,0.0417291007244265
324,2023-01-09,2023-01-10,2023-01-13,LDOUSDT,INJUSDT,0.8968246213971665,-0.14612146722790142,0.3426108502133827,True,7,25260558.772749998,6048895.75145,1.9414,2.0511,1.42,1.528,-0.019550723523172886,0.25,-0.007637680880793221,1.0426119976556596,1.0346488599350794,-0.007666997333951448
325,2023-01-12,2023-01-13,2023-01-16,LDOUSDT,CVXUSDT,0.8200372703877896,-0.11975155279503114,0.3014930734584116,True,7,36299236.535500005,4743899.736,2.0511,2.222,3.542,4.409,-0.1614558174166698,0.25,-0.043113954354167455,1.0346488599350794,0.990041056215247,-0.04407096917937961
326,2023-01-15,2023-01-16,2023-01-19,LDOUSDT,INJUSDT,1.19258089976322,0.17709815078236146,0.31923247695779544,True,7,103383202.28275,6048895.75145,2.222,1.9721,1.655,1.48,-0.006726065355780242,0.25,-0.00443151633894506,0.990041056215247,0.9856536730984027,-0.004441364613439183
327,2023-01-18,2023-01-19,2023-01-22,LDOUSDT,INJUSDT,1.0773038441284886,0.13420245398773,0.33231676811301736,True,9,155899052.51865,6276361.26245,1.9721,2.3962,1.48,1.733,0.04410400081131782,0.25,0.008276000202829453,0.9856536730984027,0.9938109430968847,0.008241941895164622
328,2023-01-21,2023-01-22,2023-01-25,APTUSDT,INJUSDT,2.172718933793773,0.3047404063205419,0.6620764180373928,True,9,191911803.642415,7205354.2345,11.7594,12.3159,1.733,1.837,-0.01268769762768307,0.25,-0.005921924406920767,0.9938109430968847,0.9879256698170943,-0.005939528535882015
329,2023-01-24,2023-01-25,2023-01-28,APTUSDT,1000LUNCUSDT,2.444680613043965,0.17148760330578527,0.6908625932411655,True,9,839149564.53196,98371548.7283,12.3159,17.757,0.17,0.1726,0.42650063547695205,0.25,0.10387515886923801,0.9879256698170943,1.0905466057203432,0.09882686072640935
330,2023-01-27,2023-01-28,2023-01-31,APTUSDT,1000LUNCUSDT,4.498235075551152,0.17323369565217384,1.2339755053236483,True,9,1141327241.18272,89879665.82885,17.757,17.1906,0.1726,0.1646,0.01445266211663554,0.25,0.0008631655291588848,1.0905466057203432,1.0914879279583423,0.0008627932160233578
331,2023-01-30,2023-01-31,2023-02-03,APTUSDT,1000LUNCUSDT,3.9876690071374687,0.13526570048309172,1.0948678746681786,True,9,1618772446.7174149,75793152.54265001,17.1906,17.2178,0.1646,0.1694,-0.0275793438158487,0.25,-0.009644835953962178,1.0914879279583423,1.080960705947454,-0.009691648627801919
332,2023-02-02,2023-02-03,2023-02-06,APTUSDT,1000LUNCUSDT,3.50990099009901,0.08595253367543298,0.9745122294590961,True,9,1810637354.281805,70122800.10895,17.2178,15.4316,0.1694,0.1814,-0.1745797295001662,0.25,-0.04639493237504155,1.080960705947454,1.0308096070949446,-0.04750566848114685
333,2023-02-05,2023-02-06,2023-02-09,APTUSDT,1000LUNCUSDT,3.000259241976461,0.16217948717948705,0.8506550127200051,True,9,1810637354.281805,70122800.10895,15.4316,15.0866,0.1814,0.1809,-0.019600382988236964,0.25,-0.007650095747059241,1.0308096070949446,1.02292381490368,-0.007679507829044764
334,2023-02-08,2023-02-09,2023-02-12,APTUSDT,1000LUNCUSDT,1.8960148961492687,0.06666666666666643,0.6512361527069653,True,9,1810637354.281805,70122800.10895,15.0866,13.877,0.1809,0.1679,-0.008314203129766384,0.25,-0.004828550782441596,1.02292381490368,1.0179845753168486,-0.0048402458959246365
335,2023-02-11,2023-02-12,2023-02-15,INJUSDT,1000LUNCUSDT,1.225278323510151,-0.0035629453681709222,0.44428784230547946,True,9,76876346.3919,63517537.850150004,3.398,3.488,0.1679,0.1697,0.015765501270585958,0.25,0.0011913753176464893,1.0179845753168486,1.019197377013626,0.0011906661932390395
